name,type,date,time,place,price,send_date,views
День Дикого Дому vol.3.0,фестиваль,2023/05/27,-,"Дикий Дім, вул. Староєврейська 22",донат,2023-05-16 12:33:21+00:00,199
Eskadron gigs 2023 vol.8,концерт,2023/05/21,18:00-,"Червоний корпус, вул.Жовківська 14",300-350 грн,2023-05-15 22:31:50+00:00,444
Doordom Party 3.0,вечірка,2023/05/20,14:00-22:00,"Порохова вежа, вул. Підвальна 4",300-350 грн,2023-05-15 15:32:42+00:00,371
Львівський галерейний вікенд,виставка,2023/05/19-2023/05/21,-,Львівські галереї,0-200 грн,2023-05-14 22:43:58+00:00,423
Акустичний вечір Promsonya,концерт,2023/05/16,20:00-,"Травень, вул. Пекарська 1ц",200 грн,2023-05-14 16:10:54+00:00,427
Sneaker Mate birthday party,вечірка,2023/05/14,16:00-,"Sneaker Mate, вул. Дудаєва 19",0 грн,2023-05-13 18:37:20+00:00,468
Вечірка Local stage techno,вечірка,2023/05/13,17:00-21:00,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-05-13 12:19:04+00:00,453
Концерт аналогової музики,концерт,2023/05/13,18:00-,"Червоний корпус, вул.Жовківська 14",200 грн,2023-05-12 19:44:53+00:00,458
"Благодійна вечірка ""Два кроки""",вечірка,2023/05/13,20:00-,"Ґанок, Яблонської, 31",200-300 грн,2023-05-11 21:35:31+00:00,485
"Виставка ""SAVE ME. HELP ME. PROTECT ME.""",виставка,2023/05/10-2021/05/28,-,"Дзиґа, вул. Вірменська 35",0 грн,2023-05-11 16:48:44+00:00,496
Collab Showcase X Tonika Funkmasters,вечірка,2023/05/13,16:30-,"Promiselove, вул. Промислова 21",250-400 грн,2023-05-10 22:40:57+00:00,513
Виставка «Проєкт в процесі створення»,виставка,2023/05/09,-,"Зелена канапа, вул. Вірменська 7",0 грн,2023-05-10 14:33:51+00:00,542
"Coffee, books & vintage",вечірка,2023/05/13-2023/05/14,-,"!FESTrepublic, вул. Старознесенська 24",250-300 грн,2023-05-09 20:02:40+00:00,591
Показ документального фільму «Божествені»,кіно,2023/05/11,20:00-,"Травень, вул. Пекарська 1ц",0 грн,2023-05-09 14:14:40+00:00,594
Поетичне дійство «Відродження»,літвечір,2023/05/09,19:00-,"31 Art space, вул. Яблонської 31",донат,2023-05-08 23:10:28+00:00,591
Виставка Лихоманка,виставка,2023/05/07,-,"31 Art space, вул. Яблонської 31",донат,2023-05-07 19:59:04+00:00,602
РадіоГараж перезапуск,концерт,2023/05/07,16:00-,"РадіоГараж, вул. Князя Романа 6",0 грн,2023-05-07 14:52:44+00:00,590
Вечірка Local stage techno,вечірка,2023/05/13,-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-05-06 20:56:17+00:00,562
Фестиваль Kontrabass X 4.5.0,фестиваль,2023/05/06,17:00-22:00,"!FESTrepublic, вул. Старознесенська 24",600-650 грн,2023-05-06 12:41:00+00:00,577
"Великий віз, лайтовий пейс",гра,2023/05/06,09:00-10:30,"Sneaker Mate, вул. Дудаєва 19",донат,2023-05-05 20:31:01+00:00,580
Гра контекстів: поетичний батл,літвечір,2023/05/05,-19:00,"Довгі бурхливі оплески, вул. Січових стрільців 3",100-200 грн,2023-05-04 15:16:56+00:00,575
Deepflat,вечірка,2023/05/06,-,"Ґанок, Яблонської, 31",250-400 грн,2023-05-03 18:00:04+00:00,559
благодійна open air вечірка NETZ,вечірка,2023/05/06,-,"Дзиґа, вул. Вірменська 35",донат,2023-05-03 14:25:09+00:00,564
поетична географія Донеччини: картотека подряпин,гра,2023/05/06,15:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-05-02 22:36:50+00:00,743
Навігація 2023,виставка,2023/05/04-2021/05/14,-,"Jam Factory, вул. Механічна 5",0 грн,2023-05-02 12:27:43+00:00,655
Intermezzo,виставка,2023/05/04-2021/06/03,-,"PM Gallery, вул. Коперника 17",0 грн,2023-05-01 20:14:13+00:00,692
Виставка «Victory”,виставка,2023/04/21,-,"Національний музей, пр. Свободи 20",50-100 грн,2023-05-01 13:09:55+00:00,648
Благодійний ярмарок Іскра,фестиваль,2023/05/07,-,Парк Франка,донат,2023-04-30 22:12:32+00:00,647
Благодійний Хейтспіч FPV tour,концерт,2023/05/20,19:00-,"!FESTrepublic, вул. Старознесенська 24",400-550 грн,2023-04-30 17:44:20+00:00,662
Благодійна барахолка До Речі,-,2023/04/30,14:00-,"Червоний корпус, вул. Жовківська 14",0 грн,2023-04-29 23:19:27+00:00,981
Концерт Schmalgauzen,концерт,2023/05/18,-,"!FESTrepublic, вул. Старознесенська 24",450 грн,2023-04-29 15:21:04+00:00,662
Вечірка Tsekh33 at 151club,вечірка,2023/04/29,22:00-,"Клуб151, вул. Яблонської 31",300-400 грн,2023-04-28 22:07:46+00:00,645
Концерт «Блискавка»,концерт,2023/04/29,18:00-,"Червоний корпус, вул.Жовківська 14",250-300 грн,2023-04-28 18:58:29+00:00,615
Вечірка Lazy Sunday,вечірка,2023/04/30,-,"Ґанок, Яблонської, 31",200-300 грн,2023-04-28 12:00:31+00:00,648
Фестиваль Ґрунт,фестиваль,2023/04/29-2021/04/29,15:00-,"Дикий Дім, вул. Староєврейська 22",300-400 грн,2023-04-27 22:17:45+00:00,691
Концерт Latexfauna,концерт,2023/04/28-2021/04/28,18:00-,"!FESTrepublic, вул. Старознесенська 24",650 грн,2023-04-26 23:31:39+00:00,706
Swap party у Пороховій,вечірка,2023/04/29-2021/04/29,13:00-20:00,"Порохова вежа, вул. Підвальна 4",0 грн,2023-04-26 14:26:38+00:00,1040
Концерт Один в каное,концерт,2023/04/26-2021/04/27,-,"!FESTrepublic, вул. Старознесенська 24",400-990 грн,2023-04-25 22:29:06+00:00,681
Дикий степ у Дикому Домі,вечірка,2023/05/06,17:00-,"Дикий Дім, вул. Староєврейська 22",200-350 грн,2023-04-25 14:08:44+00:00,641
Лекція «Історія львівського кіно»,кіно,2023/04/28,-,"Палац Хоткевича, вул. Кушевича 1",0 грн,2023-04-24 18:00:07+00:00,949
Фестиваль Kontrabass X 4.5.0,фестиваль,2023/05/06,-,"!FESTrepublic, вул. Старознесенська 24",550-700 грн,2023-04-24 14:18:44+00:00,671
Відкриття виставки «W.A.R. 2.0”,виставка,2023/04/25,17:00-,"Veles, вул. Фредра 4а",0 грн,2023-04-23 23:13:07+00:00,733
Фестиваль Ґрунт,фестиваль,2023/04/29,15:00-,"Дикий Дім, вул. Староєврейська 22",300-400 грн,2023-04-23 16:28:46+00:00,1071
Афтерпаті Darkred у КБН,вечірка,2023/04/23,16:00-20:00,"Порохова вежа, вул. Підвальна 4",0 грн,2023-04-22 21:43:18+00:00,675
Благодійна подія «Дайте пензля!»,виставка,2023/04/23,-,"Дикий Дім, вул. Староєврейська 22",донат,2023-04-22 16:56:55+00:00,652
Вечір імерсивної поезії «Трансфіґурації»,виставка,2023/04/23,18:00-,"МолоДвіж Центр, вул. Скорика 31",0 грн,2023-04-22 12:00:04+00:00,817
Вечір імерсивної поезії «Трансфіґурації»,вистава,2023/04/23,18:00-,"Молодвіж Центр, вул. Скорика 31",0 грн,2023-04-22 12:00:04+00:00,817
Фестиваль День Дикого Дому,фестиваль,2023/04/22,16:00-,"Дикий Дім, вул. Староєврейська 22",донат,2023-04-21 23:22:39+00:00,642
Благодійний фестиваль ARMOR FEST,фестиваль,2023/04/21,-,!FESTrepublic,300-600 грн,2023-04-21 11:43:01+00:00,655
Lonely duck somewhere in Ukraine 2023,виставка,2023/04/21,-,Червоний корпус,200-400 грн,2023-04-20 23:55:36+00:00,702
Darkred,вечірка,2023/04/22,21:30-,secret place,400-500 грн,2023-04-20 21:28:46+00:00,743
Вечірка на 0-му поверсі,вечірка,2023/04/22,18:00-,"Червоний корпус, вул.Жовківська 14",222-250 грн,2023-04-20 14:59:27+00:00,739
Armor Fest,фестиваль,2023/04/21,13:00-,"!FESTrepublic, вул. Старознесенська 24",від 550 грн,2023-04-19 23:07:37+00:00,741
Благодійний концерт Epolets,концерт,2023/04/22,-20:00,"!FESTrepublic, вул. Старознесенська 24",350 грн,2023-04-19 14:47:00+00:00,730
Відкриття виставки Dniprorudne,виставка,2023/04/22,-,"31 Art space, вул. Яблонської 31",донат,2023-04-18 22:02:42+00:00,789
Благодійний тур BTC х Kyiv Angels,вечірка,2023/04/21,-,"People Place, пл. Катедральна 6",від 100 грн,2023-04-18 13:38:15+00:00,816
Lonely duck somewhere in Ukraine 2023,вечірка,2023/04/21,22:00-,"Червоний корпус, вул.Жовківська 14",300-400 грн,2023-04-17 23:06:24+00:00,790
"Розмова із Павлом Олефіренком: Травень, Pilikayu, Дійсні звуки",лекція,2023/04/18,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-04-17 15:39:09+00:00,1635
Порічковий дві-і-іж,вечірка,2023/04/19,19:00-,"Дикий Дім, вул. Староєврейська 22",донат,2023-04-16 19:18:24+00:00,753
Концерт Довгий Пес та БІА Рітм,концерт,2023/05/06,20:00-,"Порохова вежа, вул. Підвальна 4",200-350 грн,2023-04-16 16:12:29+00:00,715
Відкриття виставки «Живопис»,виставка,2023/04/22,15:00-,"Дикий Дім, вул. Староєврейська 22",донат,2023-04-15 20:27:18+00:00,704
Благодійний Великодній вечір,концерт,2023/04/16,20:00-,"Клуб151, вул. Яблонської 31",300-400 грн,2023-04-15 12:00:06+00:00,677
Екзистенція: поетичні читання,літвечір,2023/04/14,19:30-,"Довгі бурхливі оплески, вул. Січових стрільців 3",150-200 грн,2023-04-13 20:17:06+00:00,659
World DrumBass Day,вечірка,2023/04/17,22:00-,"Promiselove, вул. Промислова 21",200-300 грн,2023-04-13 13:38:27+00:00,669
Вечірка Darkred,вечірка,2023/04/22,22:00-,secret place,300-500 грн,2023-04-12 23:03:05+00:00,654
Нові медіа у вищій мистецькій освіті Львова,лекція,2023/04/13,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-04-12 17:10:15+00:00,649
ARMOR FEST,фестиваль,2023/04/21,- - -,"!FESTrepublic, вул. Старознесенська 24",від 500 грн,2023-04-11 22:25:05+00:00,695
